link,UUID
http://www.ufcstats.com/fighter-details/f6ad6a1e4d600e0d,5a8a700a-7c1a-42c4-9060-dc2a8998181a
http://www.ufcstats.com/fighter-details/18968f97ad34f15c,61de86df-3ad1-4acb-9afa-1c17014f7ce8
http://www.ufcstats.com/fighter-details/3143bf892608139a,3823b491-f8ac-477e-be4a-b522cb2de7fa
http://www.ufcstats.com/fighter-details/b96619b3acd7d9da,757ee34d-9a6c-4bc3-ad38-518919065296
http://www.ufcstats.com/fighter-details/3bc3f60b21cddc6a,63266063-bd82-4f74-9746-c6576d765431
http://www.ufcstats.com/fighter-details/d5bab53a1a603aac,1a52b8ef-a055-4fb1-a494-709c3786b426
http://www.ufcstats.com/fighter-details/38c7f72747f4f712,dacfcb9a-99c8-4fa3-bbec-58226329eefe
http://www.ufcstats.com/fighter-details/cd2c4d30c6e13b47,4b66a89c-052b-4eb6-a789-bc53e446d6c6
http://www.ufcstats.com/fighter-details/32feae6d9a1e5047,139c7d0a-42db-4376-abdd-31a762e3dcd1
http://www.ufcstats.com/fighter-details/96924b0019b3aff1,705bc798-d119-47ec-b2cb-97d4e60fdb9f
http://www.ufcstats.com/fighter-details/764d39074a352e33,b63d76da-29d9-46d3-99fb-98b11db819b9
http://www.ufcstats.com/fighter-details/1a9480fc288e55d7,f11ee7eb-12e5-477e-be7f-1ced34ed85b3
http://www.ufcstats.com/fighter-details/aa0c573da7119292,8969fd04-8b1d-4514-b5f5-2ceb7b5881a3
http://www.ufcstats.com/fighter-details/38c5817ade8a8014,84d9a8dc-d61a-43c5-adf1-e28ad067c299
http://www.ufcstats.com/fighter-details/442c9011034ae1fd,e2eb8c6b-29fd-4020-9a4b-a76065fe4800
http://www.ufcstats.com/fighter-details/7ee0fd831c0fe7c3,02765198-9d38-489b-8029-d7c4851d9ae6
http://www.ufcstats.com/fighter-details/8a65fd9ba31fd3f7,ae0efa08-5243-4297-8723-7c0151723fb4
http://www.ufcstats.com/fighter-details/d4c9dcd330403612,51e9780f-01fa-4dd3-a2a4-5b94daf1cb86
http://www.ufcstats.com/fighter-details/ffe9703408fb5964,95173636-9788-4675-a917-238078bc0e24
http://www.ufcstats.com/fighter-details/9560ff14eb3129f7,cd81470d-243b-4823-a3e3-2a3b36472fc7
http://www.ufcstats.com/fighter-details/36b8f265bcd1b7a4,c2b72453-40c2-415e-b4b0-3f0ede76d60f
http://www.ufcstats.com/fighter-details/595db60957de51d3,93fc9f9e-4885-4647-a1c4-884bc6cffdb8
http://www.ufcstats.com/fighter-details/c6aee362c7a7d482,5ee0186c-f437-4644-b7fa-bd55984e4792
http://www.ufcstats.com/fighter-details/9d19d9e4aa2662e8,216283ad-d977-48b2-ab69-7d6a7fc3107a
http://www.ufcstats.com/fighter-details/b07aed698fba8624,c04c0d60-a2ce-405f-8260-0036455bbb77
http://www.ufcstats.com/fighter-details/886264a0c9f4ea5e,e2299c4f-7cb5-43b3-a68c-7241461f5d9b
http://www.ufcstats.com/fighter-details/67c1d46f4ed16f9e,8f5257e0-0f91-4a4e-9b65-7acef22aef15
http://www.ufcstats.com/fighter-details/09e62c450e754913,e5e698b7-3359-4421-9845-4b2750a4a16b
http://www.ufcstats.com/fighter-details/d9a56ecb6e94f02e,70c284be-41ea-4521-b640-b76ff56bd04e
http://www.ufcstats.com/fighter-details/b2a78df161bd67f9,16c863bb-de35-403a-83e1-545b906c49e5
http://www.ufcstats.com/fighter-details/45f0cc9d18f35137,c4c8806a-4a47-4f3e-a4d2-a22634f233e6
http://www.ufcstats.com/fighter-details/5fa2974cbd18e05c,8fd27076-2822-42e6-802d-c23fabbbc056
