fight,redCorner,blueCorner,winner,event,referee,method_of_victory,date,venue,title_fight,billing,redCorner_wins,blueCorner_wins,redCorner_losses,blueCorner_losses,redCorner_draws,blueCorner_draws,redCorner_age,blueCorner_age,redCorner_nation,blueCorner_nation,redCorner_fan,blueCorner_fan,redCorner_knockdowns,blueCorner_knockdowns,redCorner_sig_str,blueCorner_sig_str,redCorner_sig_str_percentage,blueCorner_sig_str_percentage,redCorner_total_str,blueCorner_total_str,redCorner_takedowns,blueCorner_takedowns,redCorner_takedown_percentage,blueCorner_takedown_percentage,redCorner_subs_attempted,blueCorner_subs_attempted,round,time,redCorner_height,blueCorner_height,redCorner_reach,blueCorner_reach,redCorner_stance,blueCorner_stance
Jared Vanderaa vs Justin Tafa,Justin Tafa,Jared Vanderaa,Jared Vanderaa,UFC Fight Night: Font vs. Garbrandt,Mark Smith,Decision - Unanimous,05.22.2021,UFC APEX,no,Main Card,4,11,2,5,0,0,27.0,29.0,Australia,United States,79%,21%,0,0,74 of 147,121 of 248,50%,48%,74 of 147,141 of 269,0 of 0,0 of 0,,,0,0,3,5:00,"6' 0""","6' 4""","74""","80""",Southpaw,Orthodox
Norma Dumont vs Felicia Spencer,Felicia Spencer,Norma Dumont,Norma Dumont,UFC Fight Night: Font vs. Garbrandt,Chris Tognoni,Decision - Split,05.22.2021,UFC APEX,no,Main Card,8,5,2,1,0,0,30.0,30.0,Canada,Brazil,91%,9%,0,0,47 of 114,68 of 135,41%,50%,70 of 139,88 of 155,0 of 0,1 of 3,,33%,0,0,3,5:00,"5' 6""","5' 7""","68""","67""",Orthodox,Orthodox
Ricardo Ramos vs Bill Algeo,Ricardo Ramos,Bill Algeo,Ricardo Ramos,UFC Fight Night: Font vs. Garbrandt,Mark Smith,Decision - Unanimous,05.22.2021,UFC APEX,no,Main Card,14,14,3,5,0,0,25.0,31.0,Brazil,United States,44%,56%,0,0,53 of 102,76 of 170,51%,44%,57 of 106,90 of 187,8 of 13,0 of 1,61%,0%,1,0,3,5:00,"5' 9""","6' 0""","72""","73""",Orthodox,Switch
Jack Hermansson vs Edmen Shahbazyan,Jack Hermansson,Edmen Shahbazyan,Jack Hermansson,UFC Fight Night: Font vs. Garbrandt,Herb Dean,Decision - Unanimous,05.22.2021,UFC APEX,no,Main Card,21,11,6,1,0,0,32.0,23.0,Sweden,United States,70%,30%,0,0,55 of 100,40 of 92,55%,43%,141 of 192,42 of 94,3 of 6,0 of 0,50%,,0,1,3,5:00,"6' 1""","6' 2""","77""","75""",Orthodox,Orthodox
Ben Rothwell vs Chris Barnett,Ben Rothwell,Chris Barnett,Ben Rothwell,UFC Fight Night: Font vs. Garbrandt,Mark Smith,Submission,05.22.2021,UFC APEX,no,Preliminary Card,21,36,6,13,0,0,34.0,39.0,United States,United States,80%,20%,0,0,60 of 101,33 of 85,59%,38%,72 of 120,34 of 86,1 of 1,0 of 1,100%,0%,2,0,2,2:07,"6' 4""","5' 9""","78""","75""",Orthodox,Orthodox
Court McGee vs Claudio Silva,Court McGee,Claudio Silva,Court McGee,UFC Fight Night: Font vs. Garbrandt,Keith Peterson,Decision - Unanimous,05.22.2021,UFC APEX,no,Preliminary Card,14,19,2,10,0,0,38.0,36.0,Brazil,United States,19%,81%,0,0,37 of 74,21 of 56,50%,37%,110 of 157,81 of 126,3 of 5,1 of 10,60%,10%,1,0,3,5:00,"5' 11""","5' 11""","75""","71""",Orthodox,Southpaw
Bruno Silva vs Victor Rodriguez,Bruno Silva,Victor Rodriguez,Bruno Silva,UFC Fight Night: Font vs. Garbrandt,Chris Tognoni,KO/TKO,05.22.2021,UFC APEX,no,Preliminary Card,11,7,5,3,2,0,31.0,28.0,Brazil,United States,87%,13%,1,0,6 of 12,0 of 3,50%,0%,6 of 12,0 of 3,0 of 0,0 of 0,,,0,0,1,1:00,"5' 4""","5' 5""","65""","67""",Orthodox,Switch
Josh Culibao vs Shayilan Nuerdanbieke,Josh Culibao,Shayilan Nuerdanbieke,Josh Culibao,UFC Fight Night: Font vs. Garbrandt,Herb Dean,Decision - Unanimous,05.22.2021,UFC APEX,no,Preliminary Card,8,36,1,9,1,0,26.0,27.0,Australia,China,83%,17%,0,0,53 of 104,17 of 63,50%,26%,87 of 140,23 of 71,0 of 1,2 of 14,0%,14%,1,0,3,5:00,"5' 10""","5' 8""","73""","69""",Orthodox,Orthodox
David Dvorak vs Juancamilo Ronderos,David Dvorak,Juancamilo Ronderos,David Dvorak,UFC Fight Night: Font vs. Garbrandt,Keith Peterson,Submission,05.22.2021,UFC APEX,no,Preliminary Card,19,4,3,0,0,0,28.0,26.0,Czech Republic,Colombia,96%,4%,0,0,9 of 28,11 of 32,32%,34%,9 of 28,12 of 33,0 of 0,0 of 2,,0%,1,0,1,2:18,"5' 5""","5' 3""","68""","64""",Orthodox,Southpaw
Damir Ismagulov vs Rafael Alves,Rafael Alves,Damir Ismagulov,Damir Ismagulov,UFC Fight Night: Font vs. Garbrandt,Chris Tognoni,Decision - Unanimous,05.22.2021,UFC APEX,no,Preliminary Card,19,22,9,1,0,0,30.0,30.0,Brazil,Kazakhstan,94%,6%,1,0,30 of 63,56 of 126,47%,44%,36 of 69,141 of 220,0 of 1,2 of 3,0%,66%,1,0,3,5:00,"5' 8""","5' 10""","68""","74""",Orthodox,Orthodox
Charles Oliveira vs Michael Chandler,Charles Oliveira,Michael Chandler,Charles Oliveira,UFC 262: Oliveira vs. Chandler,Dan Miragliotta,KO/TKO,05.15.2021,Toyota Center,yes,Main Event,22,30,5,8,0,0,35.0,31.0,United States,Brazil,48%,52%,2,0,24 of 32,30 of 55,75%,54%,32 of 41,36 of 61,1 of 2,0 of 0,50%,,0,1,2,0:19,"5' 10""","5' 8""","74""","71""",Orthodox,Orthodox
Beneil Dariush vs Tony Ferguson,Tony Ferguson,Beneil Dariush,Beneil Dariush,UFC 262: Oliveira vs. Chandler,Mike Beltran,Decision - Unanimous,05.15.2021,Toyota Center,no,Co-Main Event,25,20,5,4,0,1,37.0,32.0,United States,Assyria,47%,53%,0,0,15 of 34,23 of 55,44%,41%,37 of 59,76 of 142,0 of 0,3 of 6,,50%,1,1,3,5:00,"5' 11""","5' 10""","76""","72""",Orthodox,Southpaw
Matt Schnell vs Rogerio Bontorin,Matt Schnell,Rogerio Bontorin,,UFC 262: Oliveira vs. Chandler,Kerry Hatley,Overturned,05.15.2021,Toyota Center,no,Main Card,15,16,5,3,0,0,31.0,29.0,United States,Brazil,84%,16%,0,0,65 of 135,72 of 124,48%,58%,113 of 184,89 of 143,0 of 0,1 of 1,,100%,0,0,3,5:00,"5' 8""","5' 5""","70""","67""",Orthodox,Orthodox
Katlyn Chookagian vs Viviane Araujo,Katlyn Chookagian,Viviane Araujo,Katlyn Chookagian,UFC 262: Oliveira vs. Chandler,Kerry Hatley,Decision - Unanimous,05.15.2021,Toyota Center,no,Main Card,15,10,4,2,0,0,32.0,34.0,United States,Brazil,30%,70%,0,0,127 of 292,89 of 196,43%,45%,135 of 300,129 of 238,0 of 0,1 of 3,,33%,0,1,3,5:00,"5' 9""","5' 4""","68""","68""",Orthodox,Orthodox
Edson Barboza vs Shane Burgos,Shane Burgos,Edson Barboza,Edson Barboza,UFC 262: Oliveira vs. Chandler,Mike Beltran,KO/TKO,05.15.2021,Toyota Center,no,Main Card,13,21,2,9,0,0,30.0,35.0,United States,Brazil,44%,56%,0,1,80 of 180,98 of 191,44%,51%,80 of 180,98 of 191,0 of 0,0 of 0,,,0,0,3,1:16,"5' 11""","5' 11""","75""","75""",Orthodox,Orthodox
Andre Muniz vs Ronaldo Souza,Ronaldo Souza,Andre Muniz,Andre Muniz,UFC 262: Oliveira vs. Chandler,Jacob Montalvo,Submission,05.15.2021,Toyota Center,no,Preliminary Card,26,20,9,4,0,0,41.0,31.0,Brazil,Brazil,41%,59%,0,0,11 of 19,7 of 12,57%,58%,15 of 23,19 of 26,1 of 2,2 of 3,50%,66%,0,1,1,3:59,"6' 1""","6' 1""","72""","78""",Orthodox,Southpaw
Lando Vannata vs Mike Grundy,Lando Vannata,Mike Grundy,Lando Vannata,UFC 262: Oliveira vs. Chandler,Dan Miragliotta,Decision - Split,05.15.2021,Toyota Center,no,Preliminary Card,11,12,5,2,2,0,29.0,34.0,United States,England,66%,34%,0,0,80 of 168,32 of 63,47%,50%,83 of 173,34 of 65,1 of 1,3 of 20,100%,15%,0,0,3,5:00,"5' 9""","5' 7""","71""","72""",Orthodox,Orthodox
Jordan Wright vs Jamie Pickett,Jordan Wright,Jamie Pickett,Jordan Wright,UFC 262: Oliveira vs. Chandler,Jeff Rexroad,KO/TKO,05.15.2021,Toyota Center,no,Preliminary Card,11,11,5,1,0,0,32.0,29.0,United States,United States,60%,40%,1,0,26 of 32,4 of 5,81%,80%,33 of 40,4 of 5,0 of 0,0 of 0,,,0,0,1,1:04,"6' 2""","6' 2""","77""","80""",Orthodox,Orthodox
Andrea Lee vs Antonina Shevchenko,Andrea Lee,Antonina Shevchenko,Andrea Lee,UFC 262: Oliveira vs. Chandler,Jeff Rexroad,Submission,05.15.2021,Toyota Center,no,Preliminary Card,9,11,2,5,0,0,36.0,32.0,Kyrgyzstan,United States,23%,77%,0,0,45 of 62,23 of 41,72%,56%,88 of 108,36 of 54,3 of 3,0 of 0,100%,,3,0,2,4:52,"5' 6""","5' 8""","69""","67""",Orthodox,Southpaw
Priscila Cachoeira vs Gina Mazany,Gina Mazany,Priscila Cachoeira,Priscila Cachoeira,UFC 262: Oliveira vs. Chandler,Mike Beltran,KO/TKO,05.15.2021,Toyota Center,no,Preliminary Card,7,9,4,3,0,0,32.0,32.0,United States,Brazil,72%,28%,0,0,33 of 48,36 of 57,68%,63%,77 of 99,47 of 71,4 of 9,0 of 0,44%,,0,0,2,4:51,"5' 6""","5' 7""","68""","65""",Southpaw,Orthodox
Tucker Lutz vs Kevin Aguilar,Kevin Aguilar,Tucker Lutz,Tucker Lutz,UFC 262: Oliveira vs. Chandler,Jacob Montalvo,Decision - Unanimous,05.15.2021,Toyota Center,no,Preliminary Card,17,11,4,1,0,0,32.0,26.0,United States,United States,70%,30%,0,0,81 of 144,99 of 177,56%,55%,132 of 196,114 of 192,0 of 2,3 of 4,0%,75%,0,0,3,5:00,"5' 7""","5' 8""","73""","72""",Orthodox,Orthodox
Christos Giagos vs Sean Soriano,Christos Giagos,Sean Soriano,Christos Giagos,UFC 262: Oliveira vs. Chandler,Jeff Rexroad,Submission,05.15.2021,Toyota Center,no,Preliminary Card,18,14,8,6,0,0,31.0,31.0,United States,United States,80%,20%,0,0,22 of 54,33 of 53,40%,62%,23 of 55,37 of 57,3 of 5,0 of 0,60%,,1,0,2,0:59,"5' 10""","5' 9""","71""","70""",Orthodox,Orthodox
Marina Rodriguez vs Michelle Waterson Gomez,Marina Rodriguez,Michelle Waterson Gomez,Marina Rodriguez,UFC Fight Night: Rodriguez vs. Waterson,Herb Dean,Decision - Unanimous,05.08.2021,UFC APEX,no,Main Event,18,13,8,1,0,2,35.0,34.0,United States,Brazil,28%,72%,0,0,125 of 282,88 of 205,44%,42%,144 of 304,100 of 222,0 of 0,1 of 5,,20%,0,0,5,5:00,"5' 6""","5' 3""","65""","62""",Orthodox,Orthodox
Alex Morono vs Donald Cerrone,Donald Cerrone,Alex Morono,Alex Morono,UFC Fight Night: Rodriguez vs. Waterson,Marc Goddard,KO/TKO,05.08.2021,UFC APEX,no,Co-Main Event,36,18,15,7,0,0,38.0,30.0,,United States,26%,74%,0,0,17 of 35,35 of 84,48%,41%,18 of 36,41 of 90,0 of 2,0 of 2,0%,0%,0,0,1,4:40,"6' 1""","5' 11""","73""","72""",Orthodox,Orthodox
Neil Magny vs Geoff Neal,Neil Magny,Geoff Neal,Neil Magny,UFC Fight Night: Rodriguez vs. Waterson,Mark Smith,Decision - Unanimous,05.08.2021,UFC APEX,no,Main Card,13,24,3,8,0,0,30.0,33.0,United States,United States,66%,34%,0,0,55 of 174,35 of 73,31%,47%,89 of 214,37 of 76,2 of 10,1 of 2,20%,50%,0,0,3,5:00,"6' 3""","5' 11""","80""","75""",Orthodox,Southpaw
Marcos Rogerio de Lima vs Maurice Greene,Maurice Greene,Marcos Rogerio de Lima,Marcos Rogerio de Lima,UFC Fight Night: Rodriguez vs. Waterson,Herb Dean,Decision - Unanimous,05.08.2021,UFC APEX,no,Main Card,9,17,5,7,0,1,34.0,35.0,United States,Brazil,30%,70%,0,0,5 of 8,14 of 26,62%,53%,60 of 72,166 of 228,0 of 0,3 of 4,,75%,0,0,3,5:00,"6' 7""","6' 1""","80""","75""",Orthodox,Orthodox
Gregor Gillespie vs Diego Ferreira,Diego Ferreira,Gregor Gillespie,Gregor Gillespie,UFC Fight Night: Rodriguez vs. Waterson,Chris Tognoni,KO/TKO,05.08.2021,UFC APEX,no,Main Card,17,13,3,1,0,0,36.0,34.0,Brazil,United States,72%,28%,0,0,31 of 60,45 of 62,51%,72%,37 of 70,53 of 70,0 of 2,4 of 8,0%,50%,0,0,2,4:51,"5' 9""","5' 7""","74""","71""",Orthodox,Orthodox
Phil Hawes vs Kyle Daukaus,Phil Hawes,Kyle Daukaus,Phil Hawes,UFC Fight Night: Rodriguez vs. Waterson,Mark Smith,Decision - Unanimous,05.08.2021,UFC APEX,no,Main Card,10,10,2,1,0,0,32.0,28.0,United States,United States,44%,56%,0,0,66 of 101,28 of 82,65%,34%,157 of 210,52 of 113,2 of 4,0 of 7,50%,0%,1,0,3,5:00,"6' 0""","6' 3""","77""","76""",Orthodox,Southpaw
Michael Trizano vs Ludovit Klein,Ludovit Klein,Michael Trizano,Michael Trizano,UFC Fight Night: Rodriguez vs. Waterson,Herb Dean,Decision - Unanimous,05.08.2021,UFC APEX,no,Preliminary Card,17,8,2,1,0,0,26.0,29.0,Slovak Republic,United States,90%,10%,0,0,45 of 86,56 of 104,52%,53%,50 of 91,91 of 143,4 of 7,0 of 0,57%,,0,1,3,5:00,"5' 7""","5' 11""","72""","71""",Southpaw,Orthodox
Jun Yong Park vs Tafon Nchukwi,JunYong Park,Tafon Nchukwi,JunYong Park,UFC Fight Night: Rodriguez vs. Waterson,Chris Tognoni,Decision - Majority,05.08.2021,UFC APEX,no,Preliminary Card,12,5,4,0,0,0,30.0,26.0,South Korea,Cameroon,24%,76%,0,0,71 of 145,58 of 136,48%,42%,79 of 155,64 of 144,2 of 5,1 of 2,40%,50%,2,0,3,5:00,"5' 10""","6' 0""","73""","77""",Orthodox,Orthodox
Carlston Harris vs Christian Aguilera,Christian Aguilera,Carlston Harris,Carlston Harris,UFC Fight Night: Rodriguez vs. Waterson,Marc Goddard,Submission,05.08.2021,UFC APEX,no,Preliminary Card,14,15,7,4,0,0,29.0,33.0,United States,Guyana,20%,80%,0,0,1 of 10,5 of 13,10%,38%,5 of 15,6 of 16,0 of 1,0 of 3,0%,0%,0,1,1,2:52,"5' 9""","6' 0""","72""","76""",Switch,Orthodox
Jiri Prochazka vs Dominick Reyes,Dominick Reyes,Jiri Prochazka,Jiri Prochazka,UFC Fight Night: Reyes vs. Prochazka,Herb Dean,KO/TKO,05.01.2021,UFC APEX,no,Main Event,12,27,2,3,0,1,31.0,28.0,United States,Czech Republic,32%,68%,0,1,63 of 108,77 of 136,58%,56%,68 of 114,78 of 137,1 of 1,1 of 1,100%,100%,1,0,2,4:29,"6' 4""","6' 3""","77""","80""",Southpaw,Orthodox
Giga Chikadze vs Cub Swanson,Giga Chikadze,Cub Swanson,Giga Chikadze,UFC Fight Night: Reyes vs. Prochazka,Jason Herzog,KO/TKO,05.01.2021,UFC APEX,no,Co-Main Event,12,27,2,11,0,0,32.0,37.0,Georgia,United States,71%,29%,1,0,12 of 18,4 of 6,66%,66%,12 of 18,4 of 6,0 of 0,0 of 0,,,0,0,1,1:03,"6' 0""","5' 8""","74""","70""",Orthodox,Orthodox
Ion Cutelaba vs Dustin Jacoby,Ion Cutelaba,Dustin Jacoby,,UFC Fight Night: Reyes vs. Prochazka,Mark Smith,Decision - Split,05.01.2021,UFC APEX,no,Main Card,15,14,6,5,0,0,27.0,33.0,Moldova,United States,61%,39%,0,0,71 of 152,84 of 148,46%,56%,111 of 201,100 of 164,9 of 19,1 of 3,47%,33%,0,0,3,5:00,"6' 1""","6' 3""","75""","76""",Southpaw,Orthodox
Sean Strickland vs Krzysztof Jotko,Sean Strickland,Krzysztof Jotko,Sean Strickland,UFC Fight Night: Reyes vs. Prochazka,Herb Dean,Decision - Unanimous,05.01.2021,UFC APEX,no,Main Card,22,22,3,4,0,0,30.0,31.0,United States,Poland,88%,12%,0,0,84 of 182,37 of 196,46%,18%,84 of 182,37 of 196,0 of 0,0 of 1,,0%,0,0,3,5:00,"6' 1""","6' 1""","76""","77""",Orthodox,Southpaw
Merab Dvalishvili vs Cody Stamann,Merab Dvalishvili,Cody Stamann,Merab Dvalishvili,UFC Fight Night: Reyes vs. Prochazka,Chris Tognoni,Decision - Unanimous,05.01.2021,UFC APEX,no,Main Card,12,19,4,3,0,1,30.0,31.0,Georgia,United States,13%,87%,0,0,71 of 192,48 of 134,36%,35%,178 of 306,73 of 163,5 of 11,1 of 4,45%,25%,1,0,3,5:00,"5' 6""","5' 6""","68""","64""",Orthodox,Orthodox
Luana Pinheiro vs Randa Markos,Randa Markos,Luana Pinheiro,Luana Pinheiro,UFC Fight Night: Reyes vs. Prochazka,Mark Smith,DQ,05.01.2021,UFC APEX,no,Preliminary Card,10,8,10,1,1,0,35.0,27.0,Canada,Brazil,18%,82%,0,0,18 of 40,29 of 53,45%,54%,28 of 51,35 of 61,0 of 0,5 of 6,,83%,0,0,1,4:16,"5' 4""","5' 2""","63""","62""",Orthodox,Orthodox
TJ Brown vs Kai Kamaka III,Kai Kamaka,TJ Brown,TJ Brown,UFC Fight Night: Reyes vs. Prochazka,Jason Herzog,Decision - Split,05.01.2021,UFC APEX,no,Preliminary Card,8,14,3,8,0,0,26.0,30.0,United States,United States,23%,77%,1,0,61 of 128,82 of 211,47%,38%,85 of 155,110 of 243,1 of 1,2 of 4,100%,50%,0,1,3,5:00,"5' 7""","5' 9""","69""","72""",Orthodox,Switch
Luana Carolina vs Poliana Botelho,Poliana Botelho,Luana Carolina,Luana Carolina,UFC Fight Night: Reyes vs. Prochazka,Herb Dean,Decision - Split,05.01.2021,UFC APEX,no,Preliminary Card,8,6,3,2,0,0,32.0,27.0,Brazil,Brazil,13%,87%,0,0,34 of 57,25 of 46,59%,54%,87 of 112,100 of 130,1 of 4,0 of 0,25%,,0,0,3,5:00,"5' 8""","5' 6""","67""","69""",Orthodox,Orthodox
Loma Lookboonmee vs Sam Hughes,Loma Lookboonmee,Sam Hughes,Loma Lookboonmee,UFC Fight Night: Reyes vs. Prochazka,Jason Herzog,Decision - Unanimous,05.01.2021,UFC APEX,no,Preliminary Card,5,5,2,2,0,0,25.0,28.0,Thailand,United States,88%,12%,0,0,84 of 124,49 of 73,67%,67%,108 of 149,98 of 126,4 of 8,0 of 2,50%,0%,0,0,3,5:00,"5' 1""","5' 5""","61""","64""",Orthodox,Orthodox
Andreas Michailidis vs KB Bhullar,Andreas Michailidis,KB Bhullar,Andreas Michailidis,UFC Fight Night: Reyes vs. Prochazka,Mark Smith,Decision - Unanimous,05.01.2021,UFC APEX,no,Preliminary Card,12,8,4,1,0,0,32.0,29.0,Greece,Canada,21%,79%,0,0,73 of 137,70 of 131,53%,53%,75 of 139,71 of 132,1 of 1,0 of 0,100%,,0,0,3,5:00,"6' 0""","6' 4""","76""","78""",Orthodox,Switch
Felipe Colares vs Luke Sanders,Luke Sanders,Felipe Colares,Felipe Colares,UFC Fight Night: Reyes vs. Prochazka,Chris Tognoni,Decision - Unanimous,05.01.2021,UFC APEX,no,Preliminary Card,13,9,4,2,0,0,35.0,27.0,United States,Brazil,70%,30%,1,0,118 of 211,78 of 131,55%,59%,131 of 225,104 of 165,2 of 5,2 of 10,40%,20%,0,0,3,5:00,"5' 6""","5' 8""","67""","69""",Southpaw,Orthodox
Kamaru Usman vs Jorge Masvidal,Kamaru Usman,Jorge Masvidal,Kamaru Usman,UFC 261: Usman vs. Masvidal 2,Herb Dean,KO/TKO,04.24.2021,VyStar Veterans Memorial Arena,yes,Main Event,18,35,1,14,0,0,33.0,36.0,Nigeria,United States,83%,17%,1,0,21 of 40,31 of 52,52%,59%,32 of 54,56 of 79,2 of 2,0 of 0,100%,,0,0,2,1:02,"6' 0""","5' 11""","76""","74""",Switch,Orthodox
Rose Namajunas vs Weili Zhang,Zhang Weili,Rose Namajunas,Rose Namajunas,UFC 261: Usman vs. Masvidal 2,Keith Peterson,KO/TKO,04.24.2021,VyStar Veterans Memorial Arena,yes,Co-Main Event,21,9,1,4,0,0,31.0,28.0,China,United States,27%,73%,0,1,7 of 11,5 of 10,63%,50%,7 of 11,5 of 10,0 of 0,0 of 0,,,0,0,1,1:18,"5' 4""","5' 5""","63""","65""",Switch,Orthodox
Valentina Shevchenko vs Jessica Andrade,Valentina Shevchenko,Jessica Andrade,Valentina Shevchenko,UFC 261: Usman vs. Masvidal 2,Dan Miragliotta,KO/TKO,04.24.2021,VyStar Veterans Memorial Arena,yes,Main Card,20,21,3,8,0,0,33.0,29.0,Kyrgyzstan,Brazil,93%,7%,0,0,32 of 39,10 of 15,82%,66%,90 of 97,47 of 55,7 of 7,0 of 2,100%,0%,1,0,2,3:19,"5' 5""","5' 1""","66""","62""",Southpaw,Orthodox
Uriah Hall vs Chris Weidman,Uriah Hall,Chris Weidman,Uriah Hall,UFC 261: Usman vs. Masvidal 2,Herb Dean,KO/TKO,04.24.2021,VyStar Veterans Memorial Arena,no,Main Card,16,15,9,5,0,0,36.0,36.0,Jamaica,,35%,65%,0,0,0 of 0,1 of 2,,50%,0 of 0,1 of 2,0 of 0,0 of 0,,,0,0,1,0:17,"6' 0""","6' 2""","79""","78""",Orthodox,Orthodox
Anthony Smith vs Jimmy Crute,Anthony Smith,Jimmy Crute,Anthony Smith,UFC 261: Usman vs. Masvidal 2,Keith Peterson,TKO - Doctor's Stoppage,04.24.2021,VyStar Veterans Memorial Arena,no,Main Card,34,12,16,1,0,0,32.0,25.0,United States,Australia,74%,26%,0,0,26 of 39,18 of 35,66%,51%,27 of 40,34 of 57,0 of 0,3 of 3,,100%,0,0,1,5:00,"6' 4""","6' 2""","76""","74""",Orthodox,Orthodox
Randy Brown vs Alex Oliveira,Alex Oliveira,Randy Brown,Randy Brown,UFC 261: Usman vs. Masvidal 2,Dan Miragliotta,Submission,04.24.2021,VyStar Veterans Memorial Arena,no,Preliminary Card,22,12,9,4,1,0,33.0,30.0,Brazil,Jamaica,33%,67%,0,1,7 of 12,16 of 32,58%,50%,9 of 14,23 of 39,0 of 0,0 of 0,,,0,1,1,2:50,"5' 11""","6' 3""","76""","78""",Orthodox,Orthodox
Dwight Grant vs Stefan Sekulic,Dwight Grant,Stefan Sekulic,Dwight Grant,UFC 261: Usman vs. Masvidal 2,James Folsom,Decision - Split,04.24.2021,VyStar Veterans Memorial Arena,no,Preliminary Card,10,12,3,3,0,0,36.0,29.0,United States,Serbia,88%,12%,0,0,49 of 156,33 of 52,31%,63%,52 of 160,39 of 59,1 of 1,3 of 7,100%,42%,0,1,3,5:00,"6' 1""","6' 0""","76""","75""",Switch,Southpaw
Brendan Allen vs Karl Roberson,Karl Roberson,Brendan Allen,Brendan Allen,UFC 261: Usman vs. Masvidal 2,Dan Miragliotta,Submission,04.24.2021,VyStar Veterans Memorial Arena,no,Preliminary Card,9,15,3,4,0,0,30.0,25.0,United States,United States,88%,12%,0,0,6 of 14,9 of 16,42%,56%,15 of 24,15 of 22,0 of 0,2 of 2,,100%,0,1,1,4:55,"6' 1""","6' 2""","74""","75""",Southpaw,Orthodox
Pat Sabatini vs Tristan Connelly,Pat Sabatini,Tristan Connelly,Pat Sabatini,UFC 261: Usman vs. Masvidal 2,Josh Rutgers,Decision - Unanimous,04.24.2021,VyStar Veterans Memorial Arena,no,Preliminary Card,13,14,3,6,0,0,30.0,35.0,United States,Canada,53%,47%,1,0,26 of 45,19 of 50,57%,38%,73 of 98,87 of 125,1 of 5,1 of 1,20%,100%,1,0,3,5:00,"5' 8""","5' 10""","70""","68""",Orthodox,Orthodox
Batgerel Danaa vs Kevin Natividad,Batgerel Danaa,Kevin Natividad,Batgerel Danaa,UFC 261: Usman vs. Masvidal 2,Herb Dean,KO/TKO,04.24.2021,VyStar Veterans Memorial Arena,no,Preliminary Card,10,9,2,2,0,0,31.0,28.0,Mongolia,United States,19%,81%,1,0,7 of 15,3 of 8,46%,37%,8 of 16,3 of 8,0 of 0,0 of 0,,,0,0,1,0:50,"5' 7""","5' 6""","70""","70""",Orthodox,Orthodox
Rodrigo Vargas vs Rongzhu,Rodrigo Vargas,Rongzhu,Rodrigo Vargas,UFC 261: Usman vs. Masvidal 2,Keith Peterson,Decision - Unanimous,04.24.2021,VyStar Veterans Memorial Arena,no,Preliminary Card,20,11,3,4,0,0,21.0,35.0,China,Mexico,88%,12%,0,0,96 of 176,42 of 105,54%,40%,111 of 192,49 of 114,0 of 1,3 of 4,0%,75%,1,0,3,5:00,"5' 8""","5' 9""","71""","72""",Southpaw,Orthodox
Jeff Molina vs Aoriqileng,Aoriqileng,Jeff Molina,Jeff Molina,UFC 261: Usman vs. Masvidal 2,Josh Rutgers,Decision - Unanimous,04.24.2021,VyStar Veterans Memorial Arena,no,Preliminary Card,22,8,8,2,0,0,27.0,23.0,China,United States,59%,41%,0,2,116 of 258,189 of 356,44%,53%,125 of 269,210 of 378,3 of 4,0 of 1,75%,0%,0,0,3,5:00,"5' 7""","5' 6""","69""","69""",Orthodox,Orthodox
Ariane Carnelossi vs Na Liang,Liang Na,Ariane Carnelossi,Ariane Carnelossi,UFC 261: Usman vs. Masvidal 2,James Folsom,KO/TKO,04.24.2021,VyStar Veterans Memorial Arena,no,Preliminary Card,19,12,4,2,0,0,24.0,28.0,China,Brazil,23%,77%,0,0,19 of 27,24 of 32,70%,75%,36 of 47,91 of 113,3 of 4,0 of 0,75%,,1,0,2,1:28,"5' 5""","5' 2""","67""","61""",Orthodox,Orthodox
Robert Whittaker vs Kelvin Gastelum,Robert Whittaker,Kelvin Gastelum,Robert Whittaker,UFC Fight Night: Whittaker vs. Gastelum,Herb Dean,Decision - Unanimous,04.17.2021,UFC APEX,no,Main Event,22,17,5,6,0,0,30.0,29.0,Australia,,91%,9%,0,0,150 of 284,62 of 209,52%,29%,169 of 303,70 of 218,4 of 7,1 of 5,57%,20%,0,0,5,5:00,"6' 0""","5' 9""","73""","71""",Orthodox,Southpaw
Andrei Arlovski vs Chase Sherman,Andrei Arlovski,Chase Sherman,Andrei Arlovski,UFC Fight Night: Whittaker vs. Gastelum,Keith Peterson,Decision - Unanimous,04.17.2021,UFC APEX,no,Co-Main Event,30,15,20,6,0,0,42.0,31.0,Belarus,United States,57%,43%,0,0,105 of 222,88 of 192,47%,45%,109 of 226,99 of 203,0 of 0,0 of 0,,,0,0,3,5:00,"6' 3""","6' 4""","77""","78""",Orthodox,Orthodox
Jacob Malkoun vs Abdul Razak Alhassan,Abdul Razak Alhassan,Jacob Malkoun,Jacob Malkoun,UFC Fight Night: Whittaker vs. Gastelum,Chris Tognoni,Decision - Unanimous,04.17.2021,UFC APEX,no,Main Card,10,4,3,1,0,0,35.0,25.0,Ghana,Australia,9%,91%,0,0,21 of 47,27 of 55,44%,49%,32 of 59,91 of 135,0 of 0,8 of 24,,33%,0,2,3,5:00,"5' 10""","5' 9""","73""","73""",Orthodox,Orthodox
